Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
3/18/20,219.7703404,231.0449032,212.1144295,223.2587585,327597100,18,2,12,3,2020
3/19/20,222.5610511,230.1239452,216.0214318,223.7331543,289322000,19,3,12,3,2020
3/20/20,226.9389132,228.7542022,213.8108354,214.0915527,347158800,20,4,12,3,2020
3/23/20,213.5207967,214.9150029,204.2291399,208.6176453,326025200,23,0,13,3,2020
3/24/20,219.3503011,228.4080294,218.7701624,227.5190887,235494500,24,1,13,3,2020
3/25/20,229.1285084,239.870526,224.3376526,230.9250793,299430300,25,2,13,3,2020
3/26/20,233.4795946,245.9058735,233.0398074,244.4087524,257632800,26,3,13,3,2020
3/27/20,236.9885242,244.0438085,234.9112359,237.1288757,224341200,27,4,13,3,2020
3/30/20,239.2622578,245.5596141,237.2317585,244.8297577,171369500,30,0,14,3,2020
3/31/20,243.8098834,246.4018036,239.748884,241.1805267,194881100,31,1,14,3,2020
4/1/20,232.038593,241.0963213,228.2208742,230.3262329,189554600,1,2,14,4,2020
4/2/20,229.4279513,236.4364472,228.8665166,235.641098,177660400,2,3,14,4,2020
4/3/20,234.6398567,237.0352988,229.4560026,232.2350769,135561200,3,4,14,4,2020
4/6/20,241.264697,249.8358479,232.2163368,247.8334045,188061200,6,0,15,4,2020
4/7/20,256.582337,257.34963,247.8614972,248.0860596,201427200,7,1,15,4,2020
4/8/20,250.7341743,258.2573306,248.1983947,256.4139709,153774500,8,2,15,4,2020
4/9/20,259.7357507,263.1230629,257.7614058,260.315918,189999200,9,3,15,4,2020
4/13/20,259.3241082,259.6703182,253.9624501,257.9392395,114839100,13,0,16,4,2020
4/14/20,262.9171827,266.5851691,257.7988211,265.5465393,134143400,14,1,16,4,2020
4/15/20,259.7264172,265.6869171,257.7520437,259.9042053,121775000,15,2,16,4,2020
4/16/20,261.2047943,262.028228,258.0327359,261.15802,131798300,16,3,16,4,2020
4/17/20,267.0343384,268.8308951,264.2458976,268.2133484,146684800,17,4,16,4,2020
4/20/20,264.4423644,268.3536743,263.2633831,263.4879456,100109300,20,0,17,4,2020
4/21/20,258.9404157,260.1662,254.5331776,255.4876251,126385700,21,1,17,4,2020
4/22/20,260.4562339,262.9358725,259.1088022,261.15802,92951600,22,2,17,4,2020
4/23/20,262.4586436,265.6868711,260.8305089,261.1392822,104709700,23,3,17,4,2020
4/24/20,262.6831831,265.4622568,260.5965292,264.7791748,85063200,24,4,17,4,2020
4/27/20,266.7910314,269.7385277,266.323174,268.5969543,77896600,27,0,18,4,2020
4/28/20,272.3117896,272.6673659,267.0530755,267.3618774,105270000,28,1,18,4,2020
4/29/20,272.7889981,275.9236491,271.7410018,274.3609924,118745600,29,2,18,4,2020
4/30/20,272.9574298,274.4639459,270.0380034,271.8065186,122901700,30,3,18,4,2020
5/1/20,266.9688312,271.974912,263.4224636,264.6108398,125180000,1,4,18,5,2020
5/4/20,262.6926391,265.6495022,261.1861516,265.3407288,80873200,4,0,19,5,2020
5/5/20,268.2133806,270.6555832,265.4717137,267.7922974,79569900,5,1,19,5,2020
5/6/20,269.5233267,269.9163109,265.5371721,265.9769592,73632600,6,2,19,5,2020
5/7/20,269.2519998,271.1515002,268.6718611,269.1864929,75250400,7,3,19,5,2020
5/8/20,272.3772516,274.1176962,271.2263119,273.6404724,76452400,8,4,19,5,2020
5/11/20,271.675477,275.1001972,271.2450561,273.6966248,79514200,11,0,20,5,2020
5/12/20,274.9036793,275.3247339,268.101014,268.241394,95870800,12,1,20,5,2020
5/13/20,267.6705638,268.7279261,261.0269832,263.4972839,144721100,13,2,20,5,2020
5/14/20,261.0176721,266.7816505,255.440791,266.6506653,121977900,14,3,20,5,2020
5/15/20,264.2177559,267.9231781,263.2539709,267.8764038,111146300,15,4,20,5,2020
5/18/20,274.2112939,277.6734511,273.8838164,276.0359497,119703800,18,0,21,5,2020
5/19/20,275.4276896,277.1681057,273.1819796,273.2006836,95189300,19,1,21,5,2020
5/20/20,276.8031975,278.7214017,276.5692688,277.8418274,85861700,20,2,21,5,2020
5/21/20,277.7108641,278.5342979,274.8101419,275.923645,78293900,21,3,21,5,2020
5/22/20,275.633534,276.6253894,274.3703132,276.4476013,63958200,22,4,21,5,2020
5/26/20,282.5204312,282.7637263,276.4663539,279.8536377,88951400,26,1,22,5,2020
5/27/20,282.6982165,284.0550147,277.7857127,284.0175781,104817400,27,2,22,5,2020
5/28/20,285.0655857,287.114804,282.810509,283.4935913,90405200,28,3,22,5,2020
5/29/20,283.0163303,285.3556176,280.2185518,284.7567749,119090800,29,4,22,5,2020
6/1/20,284.1017614,286.5252596,283.5777633,285.9076843,55758300,1,0,23,6,2020
6/2/20,286.8433818,288.3218273,285.4866124,288.2750244,74267200,2,1,23,6,2020
6/3/20,290.2961915,293.0846322,290.0154884,292.1114807,92567600,3,2,23,6,2020
6/4/20,291.1102485,292.8787634,289.2107484,291.3441772,75794400,4,3,23,6,2020
6/5/20,296.8367824,300.6170492,296.7712755,298.8111267,150524700,5,4,23,6,2020
6/8/20,299.6345943,302.6195268,299.082526,302.4230347,73641200,8,0,24,6,2020
6/9/20,299.7094491,302.4978895,298.8298748,300.1679688,77479200,9,1,24,6,2020
6/10/20,300.7574845,301.6651291,297.7631855,298.493042,95000800,10,2,24,6,2020
6/11/20,291.4377288,292.0833743,280.7238112,281.2852173,209243600,11,3,24,6,2020
6/12/20,288.4247692,289.2107664,279.4044919,284.6538391,194678900,12,4,24,6,2020
6/15/20,278.861774,288.462219,277.6640599,287.3112793,135782700,15,0,25,6,2020
6/16/20,295.1993898,295.3491076,287.8914576,292.8413696,137627500,16,1,25,6,2020
6/17/20,293.8799233,294.1793588,290.8762585,291.6248474,83398900,17,2,25,6,2020
6/18/20,290.0809472,292.2237135,289.6130898,291.7371521,80828700,18,3,25,6,2020
6/19/20,295.2672815,295.4646384,288.0869452,290.0700073,135549600,19,4,25,6,2020
6/22/20,289.4589916,292.3348767,288.2936086,291.9307556,74649400,22,0,26,6,2020
6/23/20,294.6280803,295.5773203,292.8611906,293.2747192,68471200,23,1,26,6,2020
6/24/20,291.1977388,291.8274393,283.9234434,285.7937012,132813500,24,2,26,6,2020
6/25/20,285.2110493,289.1301645,283.1528132,288.857605,89468000,25,3,26,6,2020
6/26/20,287.7391885,287.9553603,281.4047251,281.9967957,127961000,26,4,26,6,2020
6/29/20,283.2749708,286.2824181,280.9441754,286.141449,79773300,29,0,27,6,2020
6/30/20,285.6996387,291.5360185,285.5398833,289.8067017,113394800,30,1,27,6,2020
7/1/20,290.9439379,293.124356,290.4740216,291.8367615,72396500,1,2,27,7,2020
7/2/20,295.3329525,296.7051286,292.7672282,293.4439087,69344200,2,3,27,7,2020
7/6/20,297.3347673,298.5659454,296.5735054,297.9738464,61713800,6,0,28,7,2020
7/7/20,296.4044338,298.4156608,294.515361,294.9006958,82910000,7,1,28,7,2020
7/8/20,295.680706,297.2690253,293.8856511,297.15625,54638600,8,2,28,7,2020
7/9/20,297.7764877,298.0208533,291.9871168,295.4645081,83354200,9,3,28,7,2020
7/10/20,295.3987652,298.7539743,293.9420362,298.4814148,57550400,10,4,28,7,2020
7/13/20,300.8685724,303.2933275,295.2295776,295.8968506,102997500,13,0,29,7,2020
7/14/20,294.4495317,300.5208707,293.2277608,299.7314148,93657000,14,1,29,7,2020
7/15/20,303.0114725,303.6035717,300.060384,302.4851685,87196500,15,2,29,7,2020
7/16/20,300.5490895,301.9494309,299.8911952,301.4889221,54622500,16,3,29,7,2020
7/17/20,302.5132917,303.1617784,300.5020364,302.362915,62774900,17,4,29,7,2020
7/20/20,302.0904188,305.5678113,301.3291566,304.8065491,56308800,20,0,30,7,2020
7/21/20,306.8083784,307.2594797,304.4493893,305.4550171,57292200,21,1,30,7,2020
7/22/20,305.0885094,307.513294,304.975734,307.1937256,57792900,22,2,30,7,2020
7/23/20,306.8271418,307.5414238,302.1373865,303.5283203,75738000,23,3,30,7,2020
7/24/20,301.6392815,302.6166867,300.0415546,301.5734863,73766600,24,4,30,7,2020
7/27/20,302.2783443,303.951245,301.4700734,303.7726746,48293000,27,0,31,7,2020
7/28/20,303.0302696,304.1674879,301.5453465,301.8460999,57495000,28,1,31,7,2020
7/29/20,302.738852,306.1316624,302.7012507,305.5583496,48454200,29,2,31,7,2020
7/30/20,302.5322082,304.891198,300.4082053,304.4682617,61861700,30,3,31,7,2020
7/31/20,306.2915452,306.9776336,301.9965019,306.8742371,84986800,31,4,31,7,2020
8/3/20,308.5658764,309.7876474,308.0113785,309.0075989,53077900,3,0,32,8,2020
8/4/20,308.1335285,310.2011719,308.1335285,310.2011719,41917900,4,1,32,8,2020
8/5/20,311.5262687,312.3909272,311.2537093,312.1277466,42697700,5,2,32,8,2020
8/6/20,311.5357636,314.3364468,311.2068164,314.2142639,43679400,6,3,32,8,2020
8/7/20,313.2273968,314.7311346,312.3063505,314.4397888,57308300,7,4,32,8,2020
8/10/20,314.9003149,315.567588,312.9266606,315.3796387,44282100,10,0,33,8,2020
8/11/20,316.5826148,317.2311016,312.0338285,312.7762756,69601100,11,1,33,8,2020
8/12/20,315.2574503,317.9265714,315.2292564,317.1371155,53774400,12,2,33,8,2020
8/13/20,316.3570479,317.8983872,315.6239796,316.5638123,41816100,13,3,33,8,2020
8/14/20,316.1690905,317.1183306,315.4266147,316.5732117,47260400,14,4,33,8,2020
8/17/20,317.6070207,317.982948,316.5826067,317.5788269,35481000,17,0,34,8,2020
8/18/20,317.9829561,318.6972381,316.3570354,318.2649231,38733900,18,1,34,8,2020
8/19/20,318.6502932,319.1765973,316.3665064,316.9398193,68054200,19,2,34,8,2020
8/20/20,315.1822811,318.4153079,315.0507195,317.9266052,42207800,20,3,34,8,2020
8/21/20,317.5882458,319.279933,317.2404836,319.0543823,55106600,21,4,34,8,2020
8/24/20,321.5355617,322.3626191,319.0262244,322.2874451,48588700,24,0,35,8,2020
8/25/20,322.8606939,323.4997731,321.6764956,323.4151917,38463400,25,1,35,8,2020
8/26/20,324.016696,326.9301541,323.4621982,326.6576233,50790200,26,2,35,8,2020
8/27/20,327.5411399,328.8474926,325.6802607,327.3719482,58034100,27,3,35,8,2020
8/28/20,328.4151169,329.6181016,327.2027248,329.4865112,48588900,28,4,35,8,2020
8/31/20,329.2703416,330.1631653,328.0579496,328.2929077,66099200,31,0,36,8,2020
9/1/20,329.138705,331.488286,328.2270664,331.3849182,54908700,1,1,36,9,2020
9/2/20,333.3304092,337.1649132,332.1649974,336.1781006,69540000,2,2,36,9,2020
9/3/20,334.4582224,334.9375463,321.9772467,324.6087952,148011100,3,3,36,9,2020
9/4/20,325.3042674,326.9019656,314.721743,321.9584656,139156300,4,4,36,9,2020
9/8/20,316.451097,322.0243273,312.8515499,313.1616821,114465300,8,1,37,9,2020
9/9/20,317.2405194,321.8551014,316.3570743,319.3457642,91462300,9,2,37,9,2020
9/10/20,321.2535546,321.9208276,312.8232559,313.8006897,90569500,10,3,37,9,2020
9/11/20,315.614533,316.6953345,311.0845338,313.9604187,84680200,11,4,37,9,2020
9/14/20,317.1841253,319.9002555,314.1108827,318.0957642,65605700,14,0,38,9,2020
9/15/20,320.5957047,321.4415483,318.1051539,319.7028809,52920900,15,1,38,9,2020
9/16/20,320.9622647,322.4189939,318.1521455,318.4341125,82096000,16,2,38,9,2020
9/17/20,313.4905447,317.3814653,312.9548333,315.6333618,91523300,17,3,38,9,2020
9/18/20,316.4533717,316.5665985,309.4707762,311.9996033,105877900,18,4,38,9,2020
9/21/20,307.3288361,308.6781698,303.5827637,308.5271912,99450800,21,0,39,9,2020
9/22/20,310.0369415,312.2355047,307.4797789,311.669342,63612100,22,1,39,9,2020
9/23/20,312.2355101,312.5186059,303.9318875,304.4414368,93112200,23,2,39,9,2020
9/24/20,303.1015649,308.366812,301.7616474,305.2529602,76681300,24,3,39,9,2020
9/25/20,304.3847064,310.989868,303.497754,310.1878357,71069400,25,4,39,9,2020
9/28/20,314.4246472,316.0664929,313.4149939,315.3399353,64584600,28,0,40,9,2020
9/29/20,315.1323465,315.8872108,312.914893,313.6225891,51304000,29,1,40,9,2020
9/30/20,314.3020003,319.208705,314.1038534,316.0004883,104081100,30,2,40,9,2020
10/1/20,318.642475,319.6332379,316.1136483,318.0291443,88698700,1,3,40,10,2020
10/2/20,312.9903053,318.0007897,312.5090629,315.0095825,89431100,2,4,40,10,2020
10/5/20,317.104452,320.7844658,317.0572838,320.5957642,45713100,5,0,41,10,2020
10/6/20,320.7372896,322.8698229,315.5192119,316.0381775,90128900,6,1,41,10,2020
10/7/20,319.0482636,322.3602905,319.0199569,321.5393677,56999600,7,2,41,10,2020
10/8/20,323.5114409,324.4550356,322.5772626,324.3889771,45242500,8,3,41,10,2020
10/9/20,326.0685824,327.757625,325.4363901,327.2858276,59528600,9,4,41,10,2020
10/12/20,329.8712506,334.0513679,329.3711465,332.5510559,80388500,12,0,42,10,2020
10/13/20,332.4095518,332.5888371,329.3994823,330.3808289,73255500,13,1,42,10,2020
10/14/20,330.9658759,332.0793108,327.5595125,328.3049316,57727900,14,2,42,10,2020
10/15/20,324.322968,328.3898594,323.7756957,327.8992004,60357700,15,3,42,10,2020
10/16/20,329.2768063,330.965849,327.521734,327.7010193,89501900,16,4,42,10,2020
10/19/20,328.9843267,329.6259642,321.8035839,322.7188721,68425600,19,0,43,10,2020
10/20/20,324.0870716,327.3141786,323.3133457,324.0115967,60051900,20,1,43,10,2020
10/21/20,323.9643882,326.1724254,323.086852,323.3982544,63575000,21,2,43,10,2020
